Accuracy, N_CNN_Layer, N_Filter, Kernel_Size, Initializer, Dropout, Optimizer
0.261, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.175, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.265, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.209, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.7 Dropout, ADAM Optimizer
0.161, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.219, 2 Layer, 32 Filter, 3x3 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.255, 2 Layer, 32 Filter, 3x3 Kernel, RandomNormal, 0.2 Dropout, Adam Optimizer
0.122, 2 Layer, 32 Filter, 3x3 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.285, 2 Layer, 32 Filter, 3x3 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.204, 2 Layer, 32 Filter, 3x3 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.136, 2 Layer, 32 Filter, 3x3 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.276, 2 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.241, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.190, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.262, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.176, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, ADAM Optimizer
0.173, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.178, 2 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.264, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, Adam Optimizer
0.194, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.299, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.180, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.140, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.139, 2 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.291, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.210, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.293, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.202, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, ADAM Optimizer
0.182, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.151, 2 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.251, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, Adam Optimizer
0.185, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.266, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.253, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.200, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.154, 2 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.282, 2 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.159, 2 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.275, 2 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.196, 2 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, ADAM Optimizer
0.166, 2 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.190, 2 Layer, 64 Filter, 5x5 Kernel, GlorotNormal, 0.7 Dropout, RMSprop Optimizer
0.246, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.2 Dropout, ADAM Optimizer
0.229, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.240, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.2 Dropout, RMSprop Optimizer
0.134, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.149, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.123, 2 Layer, 64 Filter, 5x5 Kernel, RandomNormal, 0.7 Dropout, RMSprop Optimizer
0.298, 3 layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.208, 3 Layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.211, 3 Layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.143, 3 Layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, Adam Optimizer
0.167, 3 Layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.218, 3 Layer, 32 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.295, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, ADAM Optimizer
0.128, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.254, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.221, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, ADAM Optimizer
0.138, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.155, 3 Layer, 32 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.245, 3 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.119, 3 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.302, 3 Layer, 32 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
