coutry_tag;header;body;class
AD;Costa and 48 MEPs call for a ceasefire in Nagorno-Karabakh;"The president of the parliamentary group of Liberals of Andorra, Ferran Costa, has denounced through social media the situation that is being lived in Upper Karabakh, a region located between Azerbaijan and Armenia that is in conflict · Lic. Costa called for a ceasefire and called for compliance with international humanitarian law and the protection of civilians. This denunciation is in addition to the one that 48 MEPs have called on the Vice-President of the European Commission, Josep Borrell, for the EU to take ""immediate"" action to end this war. MEPs have called for action to be taken to prevent possible interventions in the conflict by third countries, such as Turkey, as they say this would ""quickly worsen the situation with unpredictable consequences for the whole region"".";E
AD;Nagorno-Karabakh, on the brink of the abyss;"At first glance, there are nothing but craters and ruins in Sushi, all under a smokescreen rising from a nearby forest. The fire is said to have been caused by a phosphorus bombing on Friday. The video images taken then point in this direction.On September 27, Azerbaijan launched an offensive to end the longest-running conflict in the former Soviet Union. Its collapse unfolded a rosary of conflicts, from Moldova to Tajikistan, and since then Nagorno-Karabakh has been a cartographic anomaly, a predominantly Armenian mountainous enclave in Azerbaijani territory. This sparked a war (in the early 1990s) that was won by Armenians and forced the displacement of more than half a million Azerbaijanis. Three decades later, the latter seem determined to return, stay and, of course, expel the former winners. And Sushi (Susha, for Azerbaijanis) is key in this war. From here you can bomb Stepanakert, the capital of the enclave, and also cut off the road that connects it with Armenia. It is the true umbilical cord on which Karabakh depends.We are still looking for life in Sushi when suddenly a woman sticks her head out of the balcony of a seemingly dilapidated building. She says she is about to leave, they have just called her to evacuate her, but she invites us up and has a coffee.""This is my brother's flat. I had a beautiful farm and house, but the bombs ended up destroying them, ”he says, in a conversation constantly interrupted by the phone. Her family is waiting for her in Yerevan, the Armenian capital, but Zoya does not want to leave. The youngest of his three children is at the front and could never return. Are you right: how can the Armenian infantry cope with a drone-managed rain of fire? These are the rules of the game for over a month now.From Zoya’s brother’s balcony you can see Stepanakert in the valley and the historic Sushi Ghazanchetsots Church. It was bombed on October 7. Zoya says most of her neighbors fled then. Fortunately, no children were left here when the bombs hit the school a few days later, nor was anyone at the cultural center bombed on Thursday. We saw the rows of red armchairs, today covered in dust and lined up under an open canal roof.The excuse for Azerbaijanis to bomb hospitals (the last was Stepanakert's maternity ward on Thursday), shopping malls and other civilian targets is for their rival to raise military targets alongside them. We haven't seen any of this.Thirty years of conflict""It's genocide, that's all,"" says Zoya, before recapping the story that dragged her to this corner of the Caucasus. He was 28 years old when he arrived from Baku, the capital of Azerbaijan, in 1988, the year the Armenians of Sumgayit (a city bordering Baku) suffered a pogrom that historians say was the spark that it ignited the war of the 1990s. Zoya recalls arriving in Yerevan on December 6, 1988, just on the eve of the earthquake that killed dozens of Armenians. He arrived here still in shock from the hasty flight, crossing a land that was literally shaking beneath his feet. In Sushi there was a place to stay, because the Azerbaijanis, who were mostly in the city at the time, also ran for their lives, but in the opposite direction. Population exchanges have since been painfully chained between the two former Soviet republics, and after centuries of peaceful coexistence, it is almost impossible to find Azerbaijanis in Armenia or Armenians in Azerbaijan.The war continues. There is talk of ""hundreds"" of civilians killed, but the numbers always dance to the sound of propaganda. Foreign ministers from both countries met in Geneva on Friday, and while both sides pledged to avoid civilian targets, the meeting did nothing but certify what several analysts already take for granted: while Armenia expects a ceasefire, Azerbaijan only seeks victory. He is flanked by a Turkey today embarked on an aggressive foreign policy that strikes from Libya to this corner of the Caucasus, through Syria.After asking for help from Russia, Armenian Prime Minister Nikol Pashinyan received a response from Moscow yesterday: ""The necessary assistance"" will be provided if fighting between Armenian and Azerbaijani forces in Karabakh spread to Armenian territory. In Stepanakert, Artak Beglaryan, the Ombudsman of Karabakh, speaks of a ""humanitarian catastrophe.""""They have control of the air given to them by their technology and the support of Erdogan [the Turkish president]. The international community also has mechanisms to stop this, but it does nothing, ”said the 32-year-old Karabakh, who was left blind by a landmine when he was 6. The war not only does not end, but it is increasingly more to remember when it started.";E
AD;The war is over but Armenia is approaching the abyss;"Miatsum, miatsum! (Drive, drive!), Hundreds of people shout in front of the Armenian government headquarters in Yerevan, the capital. It was early yesterday morning when a post by Nikol Paixinian, the Armenian prime minister, on his Facebook account pushed a wave of people into the streets, enraged and disappointed. After six weeks of trying to deal with the attacks of the Azerbaijani army on the Nagorno-Karabakh region, Armenia finally showed the flag of surrender. ""It is a difficult and incredibly painful decision,"" the president apologized for the document he had signed with the Azerbaijani president and also with the Russian, Vladimir Putin, the day before at noon. The agreed end of hostilities - in which Putin has played a key role - benefits the interests of Azerbaijan, which has taken control of part of the region since the escalation of the conflict on September 27. past. Some privileges that he will keep.“Why am I here now? Are you kidding me? ”Replies an offended Armenian in his 50s. Beside him, a 32-year-old computer scientist apologizes. The Vahak - it is said - explains that everyone is very nervous, that no one expected ""a similar act of betrayal."" ""They spent six weeks telling us lies, making sure everything was going well [at the front], that they were regaining control of the situation. How do they want us to take it? ”He adds.And he is right. After a ten-day coverage of Nagorno-Karabakh at war, ARA has been able to verify that press releases on the situation at the front contrasted with what this reporter has seen on the ground. “There have been numerous casualties among the enemy ranks and the morale of our soldiers is high,” said the latest paper, dated Monday, November 9, just hours before Paixinian’s faltering. Just an hour after the prime minister's message, the first protesters began to break the windows of the government headquarters, throwing stones or any equally blunt object. Three protesters then managed to enter the building and opened the door. The result? The crowd entered the headquarters.It has been an assault ""in Armenia,"" in an almost orderly and unhurried manner, like one walking through a museum. Anna, a 24-year-old girl, was studying and working in Germany when she launched the Azerbaijan offensive, which claims the territories that Armenia occupied during the 1994 war. This generation, she says, was born in 2000. in 2001, in 2002 ..., ""thousands have died for nothing!"". The death toll ranges from the one thousand casualties recognized by Armenians to the more than 5,000 total recorded from Moscow.After a moment of tension caused by a collective reprimand against a teenager who has ripped a painting off the wall, most conclude that there is nothing left to do there. His steps now lead to Parliament, about a twenty minute walk away. This reporter comes across Neil Hauer, a Canadian analyst and Caucasian expert based in Tbilisi for three years. Let us review the controversial agreement that has infuriated an important part of the Armenians: a ceasefire has been agreed between the two sides, the exchange of prisoners, the gradual return of the seven adjacent and Azeri-majority districts until the war of the 1990s. including the city of Sushi, taken a few days ago by enemy troops - as well as the deployment of Russian peacekeepers and the re-establishment of the road connecting the enclave with Armenia.""It's the best deal the Armenians could aspire to given the speed with which they were losing the war to a much more powerful army. However, we still don't know what the final status of Karabakh will be,"" says Hauer, now facing. of an increasingly full staircase of Parliament. In fact, the agreement was reached after the Azerbaijani army regained control of Sushi, the second largest city in the region, and set out to storm the capital, Stepanakert, just 11 kilometers away.Meanwhile, the crowd also takes the interior of the Armenian Parliament. “We will kill the traitor of Paixinian!” Someone shouts with a cigar in his hand from the grandstand of the chamber. Protesters also manage to enter the offices, where they force drawers and cupboards. And they take everything they find: a coffee pot, a leather jacket ... everything is worth it, also a ball that a boy has rescued from a bin. It is the beginning of a new era.";N
AD;"Bombs rain on Stepanakert: ""All we want is peace""";Residents of the capital Nagorno-Karabakh are protecting themselves from projectiles in basements.;A
AD;Escape from a Nagorno-Karabakh that bleeds for war;"When refugees are spoken of in Nagorno-Karabakh, it is usually done in feminine. Thousands of women are fleeing every day from villages near the battlefield, where Azerbaijan is targeting and bombing civilian locations day after day. The men, on the other hand, are in charge of grabbing the rifle and waiting in the trench. Adult men, but also young men who, in many cases, barely reach adulthood. The war between Armenia and Azerbaijan over this divided region - according to the map within the domains of Azerbaijan but with an Armenian majority - has not stopped and the conflict has been entrenched for days since the fighting began on September 27. .""They are very discouraged,"" a military official said quietly in Stepanakert, the capital of the unrecognized Artsakh republic, referring to his soldiers, who have suffered airstrikes from a homeless hole. A few days ago, a surgeon at the hospital in this city assured this journalist that he had never seen anything like it in his entire professional career and despite Nagorno-Karabakh having suffered two wars in the last 30 years. “People with mutilated limbs come to us,” he explained.Meanwhile, they, the refugees, have had to carry their children on their shoulders and go down to the Armenian capital, Yerevan, to escape the attacks. There, they wait for the phone to ring to hear the voice, for a few seconds, of their relatives at the front. ""We try to talk to them every day, but we don't even want to know where they are, just by hearing their voice we already know that they are alive and let them continue with their mission,"" says Neli, a school teacher who fled. from his village on September 27, when the first projectiles fell on Nagorno-Karabakh. But he smiles and is optimistic: ""At least here I teach them all the subjects and the neighborhood school will admit them right away.""From an abandoned restaurant in Abovyan, 15 kilometers from Yerevan, she and several women of all ages wait for the war to end. ""On the first day of the offensive we were left alone, all the men marched to the front. We decided to hide in a church, but they started bombing very close. The children kept crying, ""he laments. He also explains that they then went to Stepanakert by bus, but the artillery fell on them. It is not the only story that shows indiscriminate attacks on the civilian population.Nazani, 26, gives a similar testimony. ""I remember it was Sunday morning and bombs started falling. I took my two children and we hid in the woods because the artillery hit civilian locations. Her husband is also at the front and she takes care of the creatures. ""It was impossible to spend the day locked in shelters,"" he says, referring to the state in which they had to live in Stepanakert to protect themselves from attacks. So he joined the convoy of cars made up of volunteers who evacuate dozens of people every day who want to get to Yerevan and other cities in the country.And it is this same volunteering that predominates right now in the lands of Nagorno-Karabakh: ""Here the prices have not been inflated by the war, they have disappeared, everything is free,"" said Hobit, one of the few men who is not at the front. ""I'm too old, they didn't want me, but in 2016 I did. Now I have decided to help in the best way I can: distributing food to all the shelters in Stepanakert ”.No agreementRussia's Foreign Minister Sergei Lavrov said on Wednesday that the Kremlin wants to place Russian military observers on the Nagorno-Karabakh battle front to ensure a fully utopian ceasefire agreed on paper a week ago. . Russia argues that the final decision rests with Armenia and Azerbaijan. And so far, neither side has respected it and civilian casualties have continued to rise. Both parties are accused of breaching the agreement.The figures are staggering: the death toll on the Armenian side is more than 500, although corpses abandoned at the front due to unstoppable fighting have not yet been collected. Therefore, the number of fallen Armenian soldiers - it is speculated - would be much higher. Azerbaijan, on the other hand, does not give figures for military casualties.";E
AT;Armenia and Azerbaijan at war;"Despite international calls for restraint, the fighting between Armenia and Azerbaijan over the disputed Karabakh region continues. According to their defense ministries, both sides shot each other with heavy artillery fire on Monday night. Azerbaijan ordered a partial mobilization of the population, Armenia had already done this on Sunday for all male citizens. In addition, both countries have imposed martial law. In the worst fighting since 2016, numerous people were killed on Sunday. Nagorno-Karabakh spoke of 31 dead on his side. According to the Interfax agency, around 200 Armenians were also injured. Azerbaijan reported six civilians killed and 19 injured on its side.In view of the escalation, diplomats said the UN Security Council will hold an emergency meeting on Tuesday. The initiative for the meeting behind closed doors came from Germany and France, it said on Monday at the UN headquarters in New York. Several other European countries would have supported this.Russia and Germany had already called on the conflicting parties on Sunday to let their weapons rest. The Interfax agency quoted the Armenian ambassador to Russia on Monday as saying that Turkey had sent around 4,000 fighters from northern Syria to Azerbaijan. The Ria agency reported that the ambassador said the fighters would be deployed in Nagorno-Karabakh. Azerbaijan denied the allegations.Turkey called on Armenia on Sunday to end the hostilities. President Recep Tayyip Erdogan pledged ""increased"" solidarity to traditional ally Azerbaijan after a phone call with President Ilham Aliyev. Russian President Vladimir Putin spoke on the phone with the Armenian Prime Minister Nikol Pashinyan. He called on the international community to prevent Turkey from interfering in the conflict.Both parties to the conflict have accused each other of being responsible for the escalation. Azerbaijan said that Armenia had fired at Nagorno-Karabakh from the air and with artillery. The own troops then destroyed three tanks on the opposing side and shot down two helicopters and three drones. Azerbaijan disagreed, saying it responded to an Armenian attack.Long conflictSince the collapse of the Soviet Union, Armenia and Azerbaijan have been arguing over the belonging of Nagorno-Karabakh, which is mainly inhabited by Armenians and which separated from Azerbaijan in 1991. The West and the countries in the region are concerned about the conflict, as it threatens to destabilize the South Caucasus. Important oil and gas pipelines run there. Although the predominantly Christian Armenia and the predominantly Muslim Azerbaijan signed a ceasefire in 1994, both sides regularly accuse each other of attacks around Nagorno Karabakh and along the common border. At least 200 people died in April 2016 when the conflict flared up again.Chronology:1805 - Tens of thousands of Armenians from the Ottoman Empire settle in Nagorno-Karabakh again under Russian rule.1915/16 - Genocide against the Armenians in the Ottoman Empire. Another wave of immigration from Armenians to Nagorno-Karabakh. Water and land shortages lead to interethnic conflicts with pogroms.1918-20 - In the short period of independence from Moscow after the end of the tsarist rule, war broke out between Armenia and Azerbaijan over Nagorno-Karabakh.1923 - Under Soviet rule Nagorno-Karabakh, largely inhabited by Armenians at that time, comes to the Azerbaijani SSR as a region with autonomy rights.February 1988 - The Armenian SSR supports Nagorno-Karabakh's proposal to join the region to the Armenian SSR. Moscow refuses. An azeri is killed in a demonstration in Yerevan. In retaliation, a pogrom of Armenians kills dozens in the Azerbaijani city of Sumqayit (Sumgait).September 1991 - The Parliament of Nagorno-Karabakh proclaims the independent, but never internationally recognized ""Republic of Nagorno-Karabakh"". Armenia renounced the Soviet Union after a referendum.November 1991 - The Azerbaijani SSR revokes Nagorno-Karabakh's autonomy. Clear majority in a referendum in Nagorno-Karabakh for independence.January 1992 - After the end of the Soviet Union and the renewed declaration of independence by Berg-Karbach, war breaks out.May 1994 - After further acts of war, an armistice comes into force. Balance: 20,000 dead, more than a million displaced in total. The situation to this day: Armenia and Nagorno-Karabakh control most of Nagorno-Karabakh and several surrounding Azerbaijani districts.October 1999 - First of several meetings between Presidents Haidar Aliyev (Azerbaijan) and Robert Kocharian (Armenia, ex-President of Nagorno-Karabakh), which, however, do not bring a solution, as do meetings between their successors and the foreign ministers of both countries.2007 - Azerbaijan, rich in oil and gas, is arming itself. The (still in office) Azerbaijani President Ilham Aliyev, son of Haidar Aliyev, threatens a new war.March 2008 - After the ceasefire had been repeatedly broken before, followed by mutual accusations, a total of around 20 soldiers died in the worst escalation in artillery fights to date. As a result, Armenia and Azerbaijan signed a declaration that peace efforts should be intensified.November 2009 - New peace talks between Armenia and Azerbaijan at the presidential level remain without a breakthrough. The ceasefire continues to be broken.April 2016 - The heaviest fighting since the 1994 armistice kills more than 100 people.2018 - After a controversial move from the office of president to the office of head of government, Serzh Sarkissian has to resign in the face of mass protests. Opposition leader Nikol Paschinian comes to power as head of government.2020 - Araik Haratjunian is elected as the new ""President"" of Nagorno-Karabakh. At the end of September there was another serious escalation of fighting in and around Nagorno-Karabakh, with more than 20 dead. Both Armenia and Azerbaijan are declaring a state of war.(apa, reuters, afp)";E
AT;Baku and Yerevan report fighting again;"Regardless of international appeals to comply with the new ceasefire, the heavy fighting around the South Caucasus region of Nagorno-Karabakh continues, according to authorities. The warring neighboring countries Azerbaijan and Armenia accused each other of massive shelling in the conflict region on Tuesday.The authorities of the unrecognized Nagorno-Karabakh Republic announced that there was rocket and artillery fire from the Azerbaijani side. The Defense Ministry in the Azerbaijani capital Baku accused Armenia of firing first. Among other things, the Terter region is affected.""That is an absolute lie, Azerbaijan is preparing the ground for aggressive actions against peace-loving communities,"" said a spokeswoman for the Armenian Defense Ministry in Yerevan. The enemy had gone over to attack from all directions, it said.The number of civilians killed had risen to 31, the authorities in Nagorno-Karabakh said. The number of Karabakh soldiers killed is 525. Azerbaijan has so far not provided any information on losses in its own ranks. Many civilians were also killed there.The Armenian Prime Minister Nikol Pashinyan said that the ceasefire agreed on Saturday night will not hold. The foreign ministers of the two countries reached the agreement through Russian mediation in Moscow, but it was broken shortly after it came into force. Russian Foreign Minister Sergei Lavrov urged on Monday that the ceasefire be observed.The two ex-Soviet republics have been fighting for decades for the mountainous region, in which around 145,000 people live. Nagorno-Karabakh is controlled by Armenia, but under international law it belongs to the Islamic part of Azerbaijan. In a war that followed the collapse of the Soviet Union some 30 years ago, Azerbaijan lost control of the area. It is inhabited by Christian Karabakh Armenians. A fragile ceasefire has existed since 1994. Turkey is on the side of Azerbaijan in the conflict, while Armenia sees Russia as a protecting power. (apa, dpa)";E
AT;Armenia speaks of a major attack in Nagorno-Karabakh;"Azerbaijan's ground troops launched a large-scale attack in the Nagorno-Karabakh conflict region on Saturday, according to the Armenian government. Azerbaijani troops had advanced ""with strong units"" from both the north and the south, said the Ministry of Defense in Yerevan. It spoke of ""fierce fighting"". The two warring states have been fighting for days over the area in Azerbaijan controlled by Armenia.Three Azerbaijanis fighter planes were shot down. This information could not be confirmed by an independent source, Azerbaijan denied the shooting down of the aircraft.The days of fighting go far beyond the skirmishes that have raged in the region for years. According to Armenian sources, well over 200 people were killed in the fighting in the South Caucasus in Nagorno-Karabakh. However, there was different information. Azerbaijan recently reported 19 civilians dead and 60 injured.According to the Armenian representation, Azerbaijan has drawn together further forces in the conflict area. Baku initially did not confirm this. Azerbaijani President Ilham Aliyev said after a phone call with his French colleague Emmanuel Macron that his army had liberated occupied territories. At the same time, he accused the neighboring country of obstructing negotiations to resolve the conflict.Fragile ceasefire since 1994The two ex-Soviet republics have been fighting for decades for the mountainous region, in which around 145,000 people live. Nagorno-Karabakh is controlled by Armenia, but under international law it belongs to the Islamic part of Azerbaijan. In a war that followed the collapse of the Soviet Union some 30 years ago, Azerbaijan lost control of the area. It is now inhabited by Christian Karabakh Armenians. A fragile ceasefire has existed since 1994.The ""President"" of Nagorno-Karabakh, which is not internationally recognized as a state, Araik Haratjunian, said he met with soldiers last night. The Armenian media reported that he also went to the front. There he is needed more than ""behind"", Harutjunian said. ""We will defend our homeland with honor.""";N
AT;Nagorno-Karabakh: Turkey wants to monitor ceasefire with Russia;"Together with Russia, Turkey wants to ensure compliance with the ceasefire in Nagorno-Karabakh. A Russian delegation is therefore expected in Turkey on Friday, said Turkish Foreign Minister Mevlüt Cavusoglu on Thursday in Baku, according to reports from Turkish broadcasters. According to him, both sides want to discuss the creation of a joint observatory for the ceasefire agreement between Armenia and Azerbaijan.The warring neighboring states of Armenia and Azerbaijan agreed on the ceasefire in Nagorno-Karabakh on Tuesday night after weeks of heavy fighting. The agreement was signed by Armenia, Azerbaijan and Russia - Turkey's role is not explicitly mentioned in the written agreement.However, Turkey, which is assisting Azerbaijan in the conflict, expects to be involved in monitoring the agreement and refers to an agreement reached on Wednesday by defense ministers on both sides.Once the observatory is set up, it will use drones and other means to ""fully control"" what is happening in Nagorno-Karabakh, ""whether there are violations or not,"" said Cavusoglu in Baku. He hoped that Armenia ""learned from its mistakes"". If Armenia breaks the agreement, it will ""pay the price,"" added Cavusoglu.Arrests in ArmeniaIn the course of the protests against the ceasefire agreement, prominent government critics were arrested on Thursday. The public prosecutor announced that ten opposition activists had been arrested for organizing ""illegal, violent mass unrest"". The arrests came a few hours before critics wanted to demonstrate against the agreement again in Yerevan.The police arrested several demonstrators in Yerevan on Wednesday after thousands of people had gathered for protests in the center of the Armenian capital. Among them were the head of the opposition party in Bloom Armenia, Gagik Zarukian, and Ischchan Sagateian from the party Armenian Revolutionary Federation. They face up to ten years imprisonment. The protesters protest against the ceasefire agreement and demand the resignation of Prime Minister Nikol Pashinian.The agreement reached under Russian mediation stipulates that both warring parties may keep the areas in which they currently have control - for Armenia this means major territorial losses. Azerbaijan had conquered 15 to 20 percent of Nagorno-Karabakh territory in the course of the fighting with the pro-Armenian troops.To control the ceasefire, Russia announced the dispatch of around 2,000 soldiers and hundreds of army vehicles to the front lines. The first 414 Russian soldiers and dozens of army vehicles are already in Nagorno-Karabakh, according to the military on Wednesday. Among other things, they are supposed to secure a corridor that connects the Lachin district in Nagorno-Karabakh with the Armenian national territory.The self-proclaimed Nagorno-Karabakh Republic is still not recognized internationally and is considered part of Azerbaijan under international law. Most of it is inhabited by Armenians. The fighting over the region, which had been controversial for decades, broke out again at the end of September. According to both sides, more than a thousand people have been killed since then.";A
AT;Armenia-Azerbaijan border fighting escalates: 16 killed;"Armenia and Azerbaijan forces fought Tuesday with heavy artillery and drones, leaving at least 16 people killed on both sides, including an Azerbaijani general, in the worst outbreak of hostilities in years.Skirmishes on the volatile border between the two South Caucasus nations began Sunday. Azerbaijan said it has lost 11 servicemen and one civilian in three days of fighting, and Armenia said four of its troops were killed Tuesday.The two neighbors in the South Caucasus have been locked in conflict over Nagorno-Karabakh, a region of Azerbaijan that has been under the control of ethnic Armenian forces backed by Armenia since a war there ended in 1994. International efforts to settle the conflict have stalled.Armenian and Azerbaijani forces have frequently engaged in clashes. The current skirmishes appear to mark the most serious spike in hostilities since 2016 when scores were killed in four days of fighting.The latest incident began Sunday when Armenian and Azerbaijani troops exchanged fire in the northern section of their border. Officials in both countries blamed each other for starting the fighting and said that sporadic shelling has continued.Azerbaijan’s Defense Ministry said two senior officers, Maj. Gen. Polad Hashimov and Col. Ilgar Mirzayev, were killed in fighting Tuesday along with five other servicemen.Armenian officials claimed that Azerbaijani drones launched an attack on the Tuvush province town of Berd, targeting civilian infrastructure. Defense Ministry spokeswoman Shushan Stepanyan said that one of Azerbaijani drones was downed.Stepanyan also charged that the Azerbaijani military used civilians as shields, placing artillery close to the village of Dondar Gushchu in the Tovuz district about 10 kilometers (six miles) from the border.""The Azerbaijani side has surrounded its own population with artillery batteries, making them a target, and then complained that the Armenian forces fired in that direction,” she said on Facebook where she posted images of the Azerbaijani artillery around the village.The Azerbaijani military denied losing a drone and in turn claimed that its forces shot down an Armenian drone and destroyed an Armenian artillery system along with its crew.As hostilities continued, Armenia also accused Azerbaijan of launching cyberattacks on Armenian government websites.Armenian Prime Minister Nikol Pashinyan on Monday accused Azerbaijan of provoking the clashes and warned that it would “bear responsibility for the unpredictable consequences.” Azerbaijani President Ilhan Aliyev denounced what he described as “another provocation of Armenia” and vowed to protect Azerbaijan’s national territory.Turkey, which has close ethnic and cultural ties with Azerbaijan, has voiced strong support to Baku in the conflict.The United States and Russia, which co-chair the Minsk group of the Organization for Security and Cooperation in Europe that has tried to negotiate a settlement of the Nagorno-Karabakh conflict, have condemned the violence and called for restraint.Russian Foreign Minister Sergey Lavrov had separate calls with his counterparts in Armenia and Azerbaijan on Monday to call for an immediate ceasefire.Russian President Vladimir Putin’s spokesman, Dmitry Peskov, said Tuesday that Moscow was “deeply worried” about the fighting and stands ready to play mediator.U.N. Secretary-General Antonio Guterres also expressed worry. His spokesman, Stéphane Dujarric, said in a statement that the U.N. chief “urges an immediate end to the fighting and calls on all involved to take immediate steps to deescalate the situation and refrain from provocative rhetoric.”";E
